UF;Ano;Especie;Grupo;Uso;Quantidade;Valor_Corrigido_IPCA_Mil_R$;Preco_Medio_Corrigido_IPCA
Mato Grosso do Sul;2017;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;64764;46113.52353599999;712.023138
Mato Grosso;2021;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;750;527.6218259999999;703.492266
Maranhão;2017;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;363768;250984.631382;689.960538
Mato Grosso do Sul;2018;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;131769;90914.637552;689.950032
Mato Grosso do Sul;2020;Pinus;1.1 - Carvão vegetal;Madeira para combustível;4976;3416.635248;686.6196299999999
Bahia;2018;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;157214;107740.0806;685.30638
Bahia;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;150977;101895.47723399999;674.90544
Tocantins;2019;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;816;550.1782079999999;674.233056
Mato Grosso do Sul;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;51749;34604.074464000005;668.685888
Espírito Santo;2016;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;32833;21930.613122;667.9399619999999
Bahia;2019;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;165795;110205.922848;664.7146200000001
Rio Grande do Sul;1996;Eucalipto;2 - Outros produtos; Não especificado;16;10.432457999999999;652.170456
Mato Grosso do Sul;2017;Pinus;1.1 - Carvão vegetal;Madeira para combustível;6840;4449.732252;650.5420260000001
Mato Grosso;2020;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;480;311.429358;648.8085359999999
Tocantins;2020;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;383;247.84704599999998;647.11707
Mato Grosso do Sul;2015;Pinus;1.1 - Carvão vegetal;Madeira para combustível;12500;8008.040910000001;640.645374
Mato Grosso do Sul;2019;Pinus;1.1 - Carvão vegetal;Madeira para combustível;2406;1525.113996;633.87951
